Date,P(Low),P(Med),P(High)
2006-10-09,0.99388284,0.00611716,0.00000000
2006-10-10,0.99426786,0.00573214,0.00000000
2006-10-11,0.99441974,0.00558026,0.00000000
2006-10-12,0.99451144,0.00548856,0.00000000
2006-10-13,0.99536929,0.00463071,0.00000000
2006-10-16,0.99520726,0.00479274,0.00000000
2006-10-17,0.99379255,0.00620744,0.00000000
2006-10-18,0.99270170,0.00729830,0.00000000
2006-10-19,0.99266455,0.00733545,0.00000000
2006-10-20,0.99379926,0.00620074,0.00000000
2006-10-23,0.99507014,0.00492986,0.00000000
2006-10-24,0.99781708,0.00218292,0.00000000
2006-10-25,0.99860918,0.00139082,0.00000000
2006-10-26,0.99893782,0.00106218,0.00000000
2006-10-27,0.99953062,0.00046938,0.00000000
2006-10-30,0.99981620,0.00018380,0.00000000
2006-10-31,0.99996746,0.00003254,0.00000000
2006-11-01,0.99999147,0.00000853,0.00000000
2006-11-02,0.99999835,0.00000165,0.00000000
2006-11-03,0.99999939,0.00000061,0.00000000
2006-11-06,0.99999950,0.00000050,0.00000000
2006-11-07,0.99999969,0.00000031,0.00000000
2006-11-08,0.99999961,0.00000039,0.00000000
2006-11-09,0.99999974,0.00000026,0.00000000
2006-11-10,0.99999982,0.00000018,0.00000000
2006-11-13,0.99999979,0.00000020,0.00000000
2006-11-14,0.99999987,0.00000013,0.00000000
2006-11-15,0.99999983,0.00000016,0.00000000
2006-11-16,0.99999987,0.00000013,0.00000000
2006-11-17,0.99999972,0.00000028,0.00000000
2006-11-20,0.99999971,0.00000029,0.00000000
2006-11-21,0.99999979,0.00000021,0.00000000
2006-11-22,0.99999974,0.00000026,0.00000000
2006-11-23,0.99999974,0.00000025,0.00000000
2006-11-24,0.99999975,0.00000024,0.00000000
2006-11-27,0.99999976,0.00000023,0.00000000
2006-11-28,0.99999976,0.00000023,0.00000000
2006-12-04,0.99999942,0.00000057,0.00000001
2006-12-05,0.99999955,0.00000044,0.00000000
2006-12-06,0.99999963,0.00000037,0.00000000
2006-12-07,0.99999952,0.00000047,0.00000001
2006-12-08,0.99999957,0.00000042,0.00000001
2006-12-11,0.99999949,0.00000051,0.00000001
2006-12-12,0.99999964,0.00000035,0.00000001
2006-12-13,0.99999965,0.00000034,0.00000001
2006-12-14,0.99999972,0.00000027,0.00000001
2006-12-15,0.99999973,0.00000026,0.00000001
2006-12-18,0.99999983,0.00000016,0.00000001
2006-12-19,0.99999972,0.00000027,0.00000001
2006-12-20,0.99999974,0.00000025,0.00000001
2006-12-21,0.99999980,0.00000019,0.00000001
2006-12-22,0.99999983,0.00000016,0.00000001
2006-12-25,0.99999983,0.00000016,0.00000001
2006-12-26,0.99999983,0.00000016,0.00000001
2006-12-27,0.99999988,0.00000011,0.00000001
2006-12-28,0.99999988,0.00000011,0.00000001
2006-12-29,0.99999990,0.00000009,0.00000001
2007-01-01,0.99999990,0.00000009,0.00000001
2007-01-02,0.99999989,0.00000010,0.00000001
2007-01-04,0.99999969,0.00000030,0.00000000
2007-01-05,0.99999980,0.00000020,0.00000000
2007-01-08,0.99999967,0.00000032,0.00000000
2007-01-09,0.99999978,0.00000021,0.00000001
2007-01-10,0.99999981,0.00000019,0.00000000
2007-01-11,0.99999981,0.00000019,0.00000000
2007-01-12,0.99999986,0.00000014,0.00000000
2007-01-15,0.99999972,0.00000028,0.00000000
2007-01-16,0.99999934,0.00000066,0.00000000
2007-01-17,0.99999951,0.00000048,0.00000000
2007-01-18,0.99999960,0.00000040,0.00000000
2007-01-19,0.99999932,0.00000067,0.00000000
2007-01-22,0.99999886,0.00000114,0.00000000
2007-01-23,0.99999343,0.00000657,0.00000001
2007-01-24,0.99989008,0.00010992,0.00000000
2007-01-25,0.99970577,0.00029422,0.00000001
2007-01-26,0.99896147,0.00103853,0.00000000
2007-01-29,0.99859442,0.00140557,0.00000001
2007-01-30,0.99810900,0.00189099,0.00000001
2007-01-31,0.99701080,0.00298920,0.00000001
2007-02-01,0.99667900,0.00332099,0.00000001
2007-02-02,0.99704704,0.00295295,0.00000001
2007-02-05,0.99798775,0.00201224,0.00000002
2007-02-06,0.99887213,0.00112786,0.00000001
2007-02-07,0.99966797,0.00033200,0.00000003
2007-02-08,0.99991358,0.00008640,0.00000002
2007-02-09,0.99997454,0.00002544,0.00000002
2007-02-12,0.99999115,0.00000883,0.00000002
2007-02-13,0.99998289,0.00001709,0.00000002
2007-02-14,0.99998311,0.00001686,0.00000003
2007-02-15,0.99998922,0.00001075,0.00000002
2007-02-16,0.99999250,0.00000748,0.00000003
2007-02-19,0.99999158,0.00000840,0.00000002
2007-02-20,0.99999083,0.00000914,0.00000002
2007-02-21,0.99999530,0.00000467,0.00000002
2007-02-22,0.99999166,0.00000831,0.00000003
2007-02-23,0.99999285,0.00000712,0.00000003
2007-02-26,0.99999517,0.00000480,0.00000003
2007-02-27,0.99999677,0.00000320,0.00000003
2007-02-28,0.99999769,0.00000229,0.00000002
2007-03-01,0.99999820,0.00000178,0.00000002
2007-03-02,0.99999857,0.00000140,0.00000003
2007-03-05,0.99999746,0.00000251,0.00000002
2007-03-06,0.99999815,0.00000183,0.00000003
2007-03-07,0.99999807,0.00000191,0.00000002
2007-03-08,0.99999860,0.00000137,0.00000003
2007-03-09,0.99999891,0.00000106,0.00000003
2007-03-12,0.99999878,0.00000118,0.00000003
2007-03-13,0.99999903,0.00000094,0.00000003
2007-03-14,0.99999905,0.00000092,0.00000003
2007-03-15,0.99999934,0.00000062,0.00000004
2007-03-16,0.99999951,0.00000045,0.00000004
2007-03-19,0.99999957,0.00000038,0.00000004
2007-03-20,0.99999965,0.00000030,0.00000005
2007-03-21,0.99999946,0.00000048,0.00000005
2007-03-22,0.99999696,0.00000297,0.00000007
2007-03-23,0.99999654,0.00000339,0.00000007
2007-03-26,0.99999741,0.00000252,0.00000007
2007-03-27,0.99999801,0.00000192,0.00000007
2007-03-28,0.99999870,0.00000123,0.00000007
2007-03-29,0.99999904,0.00000088,0.00000007
2007-03-30,0.99999926,0.00000066,0.00000007
2007-04-02,0.99999946,0.00000047,0.00000007
2007-04-03,0.99999954,0.00000039,0.00000007
2007-04-04,0.99999964,0.00000029,0.00000007
2007-04-05,0.99999948,0.00000045,0.00000007
2007-04-06,0.99999951,0.00000042,0.00000007
2007-04-09,0.99999954,0.00000039,0.00000007
2007-04-10,0.99999949,0.00000044,0.00000007
2007-04-11,0.99999894,0.00000099,0.00000007
2007-04-12,0.99999893,0.00000099,0.00000007
2007-04-13,0.99999857,0.00000135,0.00000008
2007-04-16,0.99999884,0.00000109,0.00000008
2007-04-17,0.99999929,0.00000064,0.00000007
2007-04-18,0.99999944,0.00000050,0.00000006
2007-04-19,0.99999954,0.00000041,0.00000006
2007-04-20,0.99999970,0.00000025,0.00000005
2007-04-23,0.99999968,0.00000028,0.00000005
2007-04-24,0.99999973,0.00000023,0.00000004
2007-04-25,0.99999973,0.00000022,0.00000005
2007-04-26,0.99999943,0.00000051,0.00000006
2007-04-27,0.99999909,0.00000083,0.00000008
2007-04-30,0.99999919,0.00000072,0.00000009
2007-05-01,0.99999931,0.00000059,0.00000010
2007-05-02,0.99999927,0.00000063,0.00000010
2007-05-03,0.99999947,0.00000043,0.00000010
2007-05-04,0.99999941,0.00000050,0.00000009
2007-05-07,0.99999950,0.00000040,0.00000009
2007-05-08,0.99999955,0.00000036,0.00000009
2007-05-09,0.99999956,0.00000035,0.00000009
2007-05-10,0.99999960,0.00000030,0.00000010
2007-05-11,0.99999959,0.00000031,0.00000010
2007-05-14,0.99999924,0.00000064,0.00000012
2007-05-15,0.99999931,0.00000057,0.00000012
2007-05-16,0.99999948,0.00000041,0.00000011
2007-05-17,0.99999962,0.00000028,0.00000010
2007-05-18,0.99999973,0.00000017,0.00000010
2007-05-21,0.99999978,0.00000013,0.00000009
2007-05-22,0.99999974,0.00000018,0.00000008
2007-05-23,0.99999967,0.00000023,0.00000009
2007-05-24,0.99999969,0.00000021,0.00000010
2007-05-25,0.99999966,0.00000022,0.00000012
2007-05-28,0.99999962,0.00000025,0.00000013
2007-05-29,0.99999956,0.00000029,0.00000015
2007-05-30,0.99999952,0.00000031,0.00000017
2007-05-31,0.99999925,0.00000057,0.00000019
2007-06-01,0.99999923,0.00000058,0.00000019
2007-06-04,0.99999930,0.00000051,0.00000019
2007-06-05,0.99999903,0.00000076,0.00000021
2007-06-06,0.99999896,0.00000082,0.00000022
2007-06-07,0.99999838,0.00000141,0.00000021
2007-06-08,0.99998591,0.00001374,0.00000035
2007-06-11,0.99998933,0.00001042,0.00000026
2007-06-12,0.99998267,0.00001709,0.00000024
2007-06-13,0.99994411,0.00005563,0.00000026
2007-06-14,0.99981711,0.00018262,0.00000026
2007-06-15,0.99965629,0.00034347,0.00000024
2007-06-18,0.99961820,0.00038160,0.00000020
2007-06-19,0.99971308,0.00028678,0.00000014
2007-06-20,0.99986228,0.00013763,0.00000009
2007-06-21,0.99994190,0.00005803,0.00000007
2007-06-22,0.99998220,0.00001774,0.00000006
2007-06-25,0.99999489,0.00000506,0.00000005
2007-06-26,0.99999780,0.00000216,0.00000004
2007-06-27,0.99999871,0.00000125,0.00000004
2007-06-28,0.99999877,0.00000119,0.00000004
2007-06-29,0.99999928,0.00000068,0.00000003
2007-07-02,0.99999956,0.00000042,0.00000003
2007-07-03,0.99999954,0.00000043,0.00000003
2007-07-04,0.99999958,0.00000039,0.00000003
2007-07-05,0.99999962,0.00000035,0.00000003
2007-07-06,0.99999968,0.00000030,0.00000002
2007-07-09,0.99999975,0.00000023,0.00000002
2007-07-10,0.99999982,0.00000016,0.00000002
2007-07-11,0.99999987,0.00000011,0.00000002
2007-07-12,0.99999989,0.00000009,0.00000002
2007-07-13,0.99999990,0.00000008,0.00000002
2007-07-16,0.99999988,0.00000010,0.00000002
2007-07-17,0.99999988,0.00000010,0.00000002
2007-07-18,0.99999988,0.00000010,0.00000002
2007-07-19,0.99999979,0.00000020,0.00000002
2007-07-20,0.99999975,0.00000024,0.00000002
2007-07-23,0.99999982,0.00000017,0.00000002
2007-07-24,0.99999984,0.00000015,0.00000001
2007-07-25,0.99999988,0.00000010,0.00000001
2007-07-26,0.99999990,0.00000008,0.00000001
2007-07-27,0.99999991,0.00000007,0.00000001
2007-07-30,0.99999990,0.00000009,0.00000001
2007-07-31,0.99999991,0.00000007,0.00000002
2007-08-01,0.99999991,0.00000008,0.00000001
2007-08-02,0.99999992,0.00000006,0.00000002
2007-08-03,0.99999991,0.00000007,0.00000002
2007-08-06,0.99999989,0.00000009,0.00000002
2007-08-07,0.99999987,0.00000011,0.00000002
2007-08-08,0.99999989,0.00000009,0.00000002
2007-08-09,0.99999985,0.00000013,0.00000001
2007-08-10,0.99999980,0.00000019,0.00000002
2007-08-13,0.99999972,0.00000027,0.00000001
2007-08-14,0.99999982,0.00000016,0.00000002
2007-08-15,0.99999980,0.00000018,0.00000002
2007-08-16,0.99999978,0.00000021,0.00000002
2007-08-17,0.99999982,0.00000016,0.00000002
2007-08-20,0.99999985,0.00000014,0.00000001
2007-08-21,0.99999969,0.00000030,0.00000001
2007-08-22,0.99999957,0.00000042,0.00000000
2007-08-23,0.99999966,0.00000033,0.00000001
2007-08-24,0.99999969,0.00000031,0.00000001
2007-08-27,0.99999938,0.00000062,0.00000000
2007-08-28,0.99999985,0.00000013,0.00000002
2007-08-29,0.99999983,0.00000015,0.00000002
2007-08-30,0.99999985,0.00000014,0.00000002
2007-08-31,0.99999983,0.00000016,0.00000001
2007-09-03,0.99999978,0.00000021,0.00000001
2007-09-04,0.99999971,0.00000028,0.00000001
2007-09-05,0.99999980,0.00000019,0.00000001
2007-09-06,0.99999978,0.00000021,0.00000001
2007-09-07,0.99999982,0.00000016,0.00000002
2007-09-10,0.99999981,0.00000017,0.00000002
2007-09-11,0.99999973,0.00000027,0.00000001
2007-09-12,0.99999980,0.00000018,0.00000001
2007-09-13,0.99999975,0.00000024,0.00000001
2007-09-14,0.99999977,0.00000022,0.00000001
2007-09-17,0.99999975,0.00000025,0.00000001
2007-09-18,0.99999970,0.00000029,0.00000001
2007-09-19,0.99999954,0.00000045,0.00000000
2007-09-20,0.99999967,0.00000032,0.00000000
2007-09-21,0.99999976,0.00000024,0.00000001
2007-09-24,0.99999970,0.00000029,0.00000000
2007-09-25,0.99999981,0.00000019,0.00000001
2007-09-26,0.99999977,0.00000022,0.00000001
2007-09-27,0.99999984,0.00000015,0.00000001
2007-09-28,0.99999968,0.00000031,0.00000001
2007-10-01,0.99999973,0.00000026,0.00000001
2007-10-02,0.99999976,0.00000022,0.00000001
2007-10-03,0.99999977,0.00000022,0.00000001
2007-10-04,0.99999980,0.00000019,0.00000001
2007-10-05,0.99999986,0.00000012,0.00000002
2007-10-08,0.99999986,0.00000012,0.00000002
2007-10-09,0.99999980,0.00000018,0.00000002
2007-10-10,0.99999983,0.00000015,0.00000002
2007-10-11,0.99999981,0.00000016,0.00000003
2007-10-12,0.99999983,0.00000013,0.00000003
2007-10-15,0.99999985,0.00000012,0.00000003
2007-10-16,0.99999987,0.00000010,0.00000003
2007-10-17,0.99999987,0.00000010,0.00000003
2007-10-18,0.99999988,0.00000009,0.00000004
2007-10-19,0.99999987,0.00000010,0.00000003
2007-10-22,0.99999985,0.00000012,0.00000002
2007-10-23,0.99999987,0.00000010,0.00000004
2007-10-24,0.99999986,0.00000010,0.00000004
2007-10-25,0.99999985,0.00000011,0.00000004
2007-10-26,0.99999984,0.00000012,0.00000005
2007-10-29,0.99999979,0.00000017,0.00000004
2007-10-30,0.99999976,0.00000019,0.00000005
2007-10-31,0.99999972,0.00000025,0.00000004
2007-11-01,0.99999957,0.00000041,0.00000003
2007-11-02,0.99999954,0.00000043,0.00000003
2007-11-05,0.99999941,0.00000056,0.00000003
2007-11-06,0.99999923,0.00000074,0.00000003
2007-11-07,0.99999924,0.00000071,0.00000005
2007-11-08,0.99999927,0.00000067,0.00000006
2007-11-09,0.99999936,0.00000054,0.00000010
2007-11-12,0.99999913,0.00000078,0.00000009
2007-11-13,0.99999764,0.00000232,0.00000004
2007-11-14,0.99999750,0.00000245,0.00000005
2007-11-15,0.99999787,0.00000205,0.00000008
2007-11-16,0.99999824,0.00000163,0.00000013
2007-11-19,0.99999812,0.00000174,0.00000014
2007-11-20,0.99999820,0.00000161,0.00000018
2007-11-21,0.99999814,0.00000165,0.00000021
2007-11-22,0.99999821,0.00000150,0.00000029
2007-11-23,0.99999819,0.00000144,0.00000037
2007-11-26,0.99999741,0.00000225,0.00000034
2007-11-27,0.99999780,0.00000181,0.00000039
2007-11-28,0.99999716,0.00000257,0.00000027
2007-11-29,0.99999655,0.00000327,0.00000017
2007-11-30,0.99999574,0.00000414,0.00000012
2007-12-03,0.99999739,0.00000240,0.00000021
2007-12-04,0.99999781,0.00000196,0.00000023
2007-12-05,0.99999838,0.00000128,0.00000034
2007-12-06,0.99999869,0.00000075,0.00000055
2007-12-07,0.99999869,0.00000063,0.00000068
2007-12-10,0.99999867,0.00000060,0.00000073
2007-12-11,0.99999850,0.00000051,0.00000099
2007-12-12,0.99999835,0.00000071,0.00000094
2007-12-13,0.99999802,0.00000121,0.00000076
2007-12-14,0.99999767,0.00000127,0.00000107
2007-12-17,0.99999722,0.00000115,0.00000163
2007-12-18,0.99999694,0.00000102,0.00000204
2007-12-19,0.99999598,0.00000136,0.00000266
2007-12-20,0.99999323,0.00000095,0.00000582
2007-12-21,0.99998865,0.00000078,0.00001057
2007-12-24,0.99998212,0.00000067,0.00001721
2007-12-25,0.99997435,0.00000067,0.00002498
2007-12-26,0.99996485,0.00000067,0.00003447
2007-12-27,0.99995322,0.00000063,0.00004615
2007-12-28,0.99994169,0.00000053,0.00005778
2007-12-31,0.99993179,0.00000047,0.00006774
2008-01-02,0.99992599,0.00000045,0.00007356
2008-01-03,0.99992805,0.00000120,0.00007075
2008-01-04,0.99993433,0.00000126,0.00006441
2008-01-07,0.99994194,0.00000137,0.00005669
2008-01-08,0.99994900,0.00000174,0.00004926
2008-01-09,0.99995254,0.00000125,0.00004620
2008-01-10,0.99995015,0.00000091,0.00004895
2008-01-11,0.99994604,0.00000070,0.00005326
2008-01-14,0.99994326,0.00000060,0.00005614
2008-01-15,0.99994291,0.00000073,0.00005635
2008-01-16,0.99994985,0.00000122,0.00004893
2008-01-17,0.99995660,0.00000164,0.00004175
2008-01-18,0.99996545,0.00000119,0.00003336
2008-01-21,0.99997360,0.00000117,0.00002523
2008-01-22,0.99998018,0.00000116,0.00001867
2008-01-23,0.99998497,0.00000071,0.00001432
2008-01-24,0.99998946,0.00000107,0.00000947
2008-01-25,0.99999009,0.00000084,0.00000906
2008-01-28,0.99998951,0.00000129,0.00000919
2008-01-29,0.99998667,0.00000153,0.00001180
2008-01-30,0.99998309,0.00000119,0.00001572
2008-01-31,0.99997988,0.00000096,0.00001916
2008-02-01,0.99997882,0.00000101,0.00002018
2008-02-04,0.99998184,0.00000068,0.00001748
2008-02-05,0.99998570,0.00000064,0.00001366
2008-02-06,0.99998963,0.00000054,0.00000983
2008-02-07,0.99999283,0.00000064,0.00000653
2008-02-08,0.99999415,0.00000056,0.00000529
2008-02-11,0.99999443,0.00000123,0.00000434
2008-02-12,0.99999487,0.00000114,0.00000399
2008-02-13,0.99999485,0.00000152,0.00000363
2008-02-14,0.99999597,0.00000117,0.00000287
2008-02-15,0.99999682,0.00000160,0.00000158
2008-02-18,0.99999718,0.00000117,0.00000164
2008-02-19,0.99999726,0.00000087,0.00000187
2008-02-20,0.99999728,0.00000123,0.00000149
2008-02-21,0.99999734,0.00000076,0.00000191
2008-02-22,0.99999739,0.00000083,0.00000178
2008-02-25,0.99999705,0.00000055,0.00000240
2008-02-26,0.99999701,0.00000068,0.00000231
2008-02-27,0.99999644,0.00000114,0.00000242
2008-02-28,0.99999600,0.00000219,0.00000181
2008-02-29,0.99998498,0.00001412,0.00000090
2008-03-03,0.99991688,0.00008219,0.00000094
2008-03-04,0.99963171,0.00036492,0.00000338
2008-03-05,0.99801668,0.00197273,0.00001059
2008-03-06,0.99044858,0.00953594,0.00001548
2008-03-07,0.98105557,0.01889116,0.00005327
2008-03-10,0.95963857,0.04020598,0.00015545
2008-03-11,0.90100157,0.09873311,0.00026533
2008-03-12,0.71829407,0.28163493,0.00007099
2008-03-13,0.58656837,0.41328325,0.00014838
2008-03-14,0.46288249,0.53674599,0.00037153
2008-03-17,0.26318070,0.73647054,0.00034876
2008-03-18,0.05659545,0.94333024,0.00007431
2008-03-19,0.00301886,0.99697800,0.00000314
2008-03-20,0.00000181,0.99999819,0.00000001
2008-03-21,0.00000001,0.99999999,0.00000000
2008-03-24,0.00000000,0.99999999,0.00000000
2008-03-25,0.00000000,1.00000000,0.00000000
2008-03-26,0.00000001,0.99999996,0.00000003
2008-03-27,0.00000002,0.99999996,0.00000003
2008-03-28,0.00000005,0.99999965,0.00000029
2008-03-31,0.00000008,0.99999939,0.00000053
2008-04-01,0.00000007,0.99999965,0.00000027
2008-04-02,0.00000019,0.99999919,0.00000063
2008-04-03,0.00000009,0.99999968,0.00000023
2008-04-04,0.00000023,0.99999857,0.00000120
2008-04-07,0.00000009,0.99999919,0.00000071
2008-04-08,0.00000018,0.99998870,0.00001112
2008-04-09,0.00000069,0.99942357,0.00057575
2008-04-10,0.00000250,0.99374721,0.00625029
2008-04-11,0.00000995,0.94953861,0.05045145
2008-04-14,0.00002021,0.85026878,0.14971102
2008-04-15,0.00003506,0.56692222,0.43304272
2008-04-16,0.00002582,0.27591286,0.72406132
2008-04-17,0.00000971,0.15296407,0.84702622
2008-04-18,0.00000497,0.05474834,0.94524669
2008-04-21,0.00000328,0.01669047,0.98330625
2008-04-22,0.00000126,0.00306350,0.99693524
2008-04-23,0.00000041,0.00032882,0.99967078
2008-04-24,0.00000020,0.00003492,0.99996488
2008-04-25,0.00000013,0.00000709,0.99999278
2008-04-28,0.00000013,0.00000430,0.99999558
2008-04-29,0.00000008,0.00000393,0.99999599
2008-04-30,0.00000003,0.00001347,0.99998650
2008-05-01,0.00000002,0.00000972,0.99999026
2008-05-02,0.00000002,0.00000552,0.99999446
2008-05-05,0.00000002,0.00000540,0.99999458
2008-05-06,0.00000003,0.00000429,0.99999567
2008-05-07,0.00000003,0.00000372,0.99999625
2008-05-08,0.00000004,0.00000275,0.99999721
2008-05-09,0.00000003,0.00000331,0.99999666
